N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
154,솔루스첨단소재,"65,100",900,-1.36%,100,"19,914","30,590",7.76,"342,593",-169.53,-5.10,
155,프레스티지바이오파마,"33,100","1,350",+4.25%,0,"19,892","60,096",63.91,"1,530,372",-98.51,N/A,
156,현대엘리베이,"48,200",150,-0.31%,"5,000","19,673","40,815",27.43,"193,662",20.42,9.78,
157,현대백화점,"81,900",100,-0.12%,"5,000","19,167","23,402",19.26,"82,994",14.80,1.65,
158,동국제강,"19,950",550,-2.68%,"5,000","19,039","95,433",23.58,"1,182,689",6.49,3.35,
159,HDC현대산업개발,"28,600",250,-0.87%,"5,000","18,849","65,907",10.76,"285,662",10.21,8.85,
160,한전기술,"49,300","1,500",-2.95%,200,"18,842","38,220",3.06,"294,824",91.13,N/A,
161,오뚜기,"512,000","6,000",+1.19%,"5,000","18,801","3,672",12.57,"5,879",21.42,7.93,
162,아시아나항공,"25,100",150,-0.59%,"5,000","18,677","74,412",9.06,"1,601,182",-27.28,-43.83,
163,대웅제약,"154,500",0,0.00%,"2,500","17,901","11,587",6.92,"30,760",603.52,2.38,
164,농심,"290,000","3,000",-1.02%,"5,000","17,640","6,083",13.69,"20,550",15.92,7.50,
165,PI첨단소재,"59,800",700,-1.16%,500,"17,561","29,366",18.12,"196,514",32.17,15.62,
166,동원시스템즈,"68,000","2,500",-3.55%,"5,000","17,421","25,619",1.60,"98,410",32.32,10.97,
167,한전KPS,"38,650","1,000",-2.52%,200,"17,392","45,000",9.05,"189,133",17.80,8.23,
168,후성,"18,550",400,-2.11%,500,"17,179","92,607",6.75,"3,213,061",171.76,2.79,
169,KODEX 레버리지,"25,625",120,+0.47%,0,"16,912","66,000",2.32,"15,516,176",N/A,N/A,
170,KODEX 삼성그룹,"10,295",35,+0.34%,0,"16,843","163,600",0.16,"224,276",N/A,N/A,
171,금호타이어,"5,860",80,-1.35%,"5,000","16,833","287,260",4.18,"412,918",79.19,-6.74,
172,TIGER 단기통안채,"100,320",5,0.00%,0,"16,827","16,773",0.70,"2,361",N/A,N/A,
173,롯데렌탈,"45,500",200,+0.44%,"5,000","16,668","36,634",0.94,"228,271",23.23,6.73,
174,두산,"100,000","2,000",-1.96%,"5,000","16,524","16,524",11.73,"118,816",-163.67,-34.34,
175,JB금융지주,"8,210",130,-1.56%,"5,000","16,172","196,983",40.62,"338,253",3.56,10.06,
176,한미반도체,"32,500",650,+2.04%,200,"16,074","49,460",6.46,"292,177",21.67,21.03,
177,진원생명과학,"35,150","1,200",-3.30%,"1,000","15,892","45,212",13.02,"1,053,076",-73.69,-30.43,
178,아이에스동서,"51,300",200,-0.39%,500,"15,848","30,893",4.43,"48,522",14.63,10.92,
179,대한유화,"243,500","7,500",-2.99%,"5,000","15,828","6,500",14.40,"184,152",6.81,6.93,
180,SK가스,"171,000",500,-0.29%,"5,000","15,784","9,230",6.53,"85,117",6.38,14.91,
181,한국앤컴퍼니,"16,550",250,-1.49%,500,"15,712","94,935",9.73,"179,011",6.34,5.08,
182,DGB금융지주,"9,210",150,-1.60%,"5,000","15,578","169,146",49.81,"457,035",3.66,6.93,
183,녹십자홀딩스,"32,950",300,+0.92%,500,"15,496","47,028",5.35,"85,349",10.16,19.74,
